INFO 2020-05-21 15:04:09,999 autoreload 20656 21900 Watching for file changes with StatReloader
DEBUG 2020-05-21 15:04:09,999 autoreload 20656 21900 Waiting for apps ready_event.
DEBUG 2020-05-21 15:04:10,012 autoreload 20656 21900 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2020-05-21 15:04:10,012 autoreload 20656 21900 Watching dir C:\Users\ilyatsv\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\Scripts\hello\locale with glob **/*.mo.
DEBUG 2020-05-21 15:04:10,012 autoreload 20656 21900 Watching dir C:\Users\ilyatsv\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\django\contrib\admin\locale with glob **/*.mo.
DEBUG 2020-05-21 15:04:10,012 autoreload 20656 21900 Watching dir C:\Users\ilyatsv\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\django\contrib\auth\locale with glob **/*.mo.
DEBUG 2020-05-21 15:04:10,012 autoreload 20656 21900 Watching dir C:\Users\ilyatsv\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\django\contrib\contenttypes\locale with glob **/*.mo.
DEBUG 2020-05-21 15:04:10,012 autoreload 20656 21900 Watching dir C:\Users\ilyatsv\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\django\contrib\sessions\locale with glob **/*.mo.
DEBUG 2020-05-21 15:04:10,012 autoreload 20656 21900 Watching dir C:\Users\ilyatsv\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\django\contrib\messages\locale with glob **/*.mo.
DEBUG 2020-05-21 15:04:10,012 autoreload 20656 21900 Watching dir C:\Users\ilyatsv\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\django\contrib\staticfiles\locale with glob **/*.mo.
DEBUG 2020-05-21 15:04:10,012 autoreload 20656 21900 Watching dir C:\Users\ilyatsv\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\Scripts\hello\firstapp\locale with glob **/*.mo.
